id,event_id,user_id,registered_at,status
1,1,3,2026-06-12 09:00,confirmed
2,1,4,2026-06-12 09:15,confirmed
3,1,5,2026-06-12 10:00,confirmed
4,2,6,2026-06-12 11:00,confirmed
5,2,7,2026-06-12 11:30,confirmed
6,3,3,2026-06-12 12:00,confirmed
7,3,8,2026-06-12 12:30,confirmed
8,3,9,2026-06-12 13:00,confirmed
9,4,10,2026-06-12 14:00,confirmed
10,5,5,2026-06-12 15:00,confirmed
11,5,7,2026-06-12 15:30,confirmed
12,6,3,2026-06-11 18:00,attended
13,6,4,2026-06-11 18:10,attended
14,2,8,2026-06-12 16:00,cancelled
15,7,6,2026-06-12 16:30,confirmed
